id,category,category_code,category_name,question,compliance_expectation,tags,_normalized_tags
1,CORE REQUIREMENT 1: SCOPE,CORE REQUIREMENT 1,SCOPE,Does the facility have a current R2 certificate that accurately reflects all processes and activities?,"Valid R2 certificate showing all applicable processes, legal entities, and locations",CR1;A,CR1;A
2,CORE REQUIREMENT 1: SCOPE,CORE REQUIREMENT 1,SCOPE,"Are all electronic equipment types, components, and materials managed by the facility documented in the scope?",Written scope statement matching certificate and operations,CR1,CR1
3,CORE REQUIREMENT 1: SCOPE,CORE REQUIREMENT 1,SCOPE,Have all legal entities and names associated with certifiable activities been identified?,"Business licenses, DBAs, trade names documentation",CR1,CR1
4,CORE REQUIREMENT 1: SCOPE,CORE REQUIREMENT 1,SCOPE,Are there any uncertified locations managing e-waste that should be disclosed?,Current public listing of non-certified locations if applicable,CR1,CR1
5,CORE REQUIREMENT 1: SCOPE,CORE REQUIREMENT 1,SCOPE,Has the facility been on SERI's deceptive practices list in the past 24 months?,Verification against SERI's published list,CR1,CR1
6,CORE REQUIREMENT 1: SCOPE,CORE REQUIREMENT 1,SCOPE,Do all certifiable activities at the physical address fall within the R2 scope?,Site map showing all operations areas,CR1,CR1
7,CORE REQUIREMENT 1: SCOPE,CORE REQUIREMENT 1,SCOPE,Are external processes and activities under the facility's control included in certification?,Documentation of off-site controlled activities,CR1,CR1
8,CORE REQUIREMENT 1: SCOPE,CORE REQUIREMENT 1,SCOPE,Has the facility properly identified all applicable R2 Process Requirements?,List matching actual operations to Appendices A-G,CR1,CR1
9,CORE REQUIREMENT 1: SCOPE,CORE REQUIREMENT 1,SCOPE,Are all authorized allowances properly documented on the certificate?,Certificate showing approved allowances per COP,CR1,CR1
10,CORE REQUIREMENT 1: SCOPE,CORE REQUIREMENT 1,SCOPE,Does the facility maintain documentation linking all sales websites to certified operations?,URLs and website documentation matching certificate names,CR1,CR1
11,CORE REQUIREMENT 2: HIERARCHY OF RESPONSIBLE MANAGEMENT,CORE REQUIREMENT 2,HIERARCHY OF RESPONSIBLE MANAGEMENT,Does the facility have a written hierarchy policy prioritizing reuse over recycling?,Written policy document dated and approved,CR2;A,CR2;A
12,CORE REQUIREMENT 2: HIERARCHY OF RESPONSIBLE MANAGEMENT,CORE REQUIREMENT 2,HIERARCHY OF RESPONSIBLE MANAGEMENT,How does the facility evaluate equipment for reuse potential?,Documented evaluation criteria and procedures,CR2,CR2
13,CORE REQUIREMENT 2: HIERARCHY OF RESPONSIBLE MANAGEMENT,CORE REQUIREMENT 2,HIERARCHY OF RESPONSIBLE MANAGEMENT,Are items directed to reuse when technically capable?,Transaction records showing reuse prioritization,CR2,CR2
