id,category,category_code,category_name,question,compliance_expectation,primary_response,compliance_status,confidence,score,answer_notes,
1,CORE REQUIREMENT 1: SCOPE,CORE REQUIREMENT 1,SCOPE,Does the facility have a current R2 certificate that accurately reflects all processes and activities?,"Valid R2 certificate showing all applicable processes, legal entities, and locations",Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
2,CORE REQUIREMENT 1: SCOPE,CORE REQUIREMENT 1,SCOPE,"Are all electronic equipment types, components, and materials managed by the facility documented in the scope?",Written scope statement matching certificate and operations,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
3,CORE REQUIREMENT 1: SCOPE,CORE REQUIREMENT 1,SCOPE,Have all legal entities and names associated with certifiable activities been identified?,"Business licenses, DBAs, trade names documentation",Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
4,CORE REQUIREMENT 1: SCOPE,CORE REQUIREMENT 1,SCOPE,Are there any uncertified locations managing e-waste that should be disclosed?,Current public listing of non-certified locations if applicable,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
5,CORE REQUIREMENT 1: SCOPE,CORE REQUIREMENT 1,SCOPE,Has the facility been on SERI's deceptive practices list in the past 24 months?,Verification against SERI's published list,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
6,CORE REQUIREMENT 1: SCOPE,CORE REQUIREMENT 1,SCOPE,Do all certifiable activities at the physical address fall within the R2 scope?,Site map showing all operations areas,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
7,CORE REQUIREMENT 1: SCOPE,CORE REQUIREMENT 1,SCOPE,Are external processes and activities under the facility's control included in certification?,Documentation of off-site controlled activities,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
8,CORE REQUIREMENT 1: SCOPE,CORE REQUIREMENT 1,SCOPE,Has the facility properly identified all applicable R2 Process Requirements?,List matching actual operations to Appendices A-G,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
9,CORE REQUIREMENT 1: SCOPE,CORE REQUIREMENT 1,SCOPE,Are all authorized allowances properly documented on the certificate?,Certificate showing approved allowances per COP,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
10,CORE REQUIREMENT 1: SCOPE,CORE REQUIREMENT 1,SCOPE,Does the facility maintain documentation linking all sales websites to certified operations?,URLs and website documentation matching certificate names,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
11,CORE REQUIREMENT 2: HIERARCHY OF RESPONSIBLE MANAGEMENT,CORE REQUIREMENT 2,HIERARCHY OF RESPONSIBLE MANAGEMENT,Does the facility have a written hierarchy policy prioritizing reuse over recycling?,Written policy document dated and approved,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
12,CORE REQUIREMENT 2: HIERARCHY OF RESPONSIBLE MANAGEMENT,CORE REQUIREMENT 2,HIERARCHY OF RESPONSIBLE MANAGEMENT,How does the facility evaluate equipment for reuse potential?,Documented evaluation criteria and procedures,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
13,CORE REQUIREMENT 2: HIERARCHY OF RESPONSIBLE MANAGEMENT,CORE REQUIREMENT 2,HIERARCHY OF RESPONSIBLE MANAGEMENT,Are items directed to reuse when technically capable?,Transaction records showing reuse prioritization,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
14,CORE REQUIREMENT 2: HIERARCHY OF RESPONSIBLE MANAGEMENT,CORE REQUIREMENT 2,HIERARCHY OF RESPONSIBLE MANAGEMENT,How are non-reusable items directed to materials recovery?,Process flow documentation and routing records,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
15,CORE REQUIREMENT 2: HIERARCHY OF RESPONSIBLE MANAGEMENT,CORE REQUIREMENT 2,HIERARCHY OF RESPONSIBLE MANAGEMENT,Are focus materials ever sent to energy recovery or landfill?,Records showing no disposal unless legally required,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
16,CORE REQUIREMENT 2: HIERARCHY OF RESPONSIBLE MANAGEMENT,CORE REQUIREMENT 2,HIERARCHY OF RESPONSIBLE MANAGEMENT,How does the facility verify downstream vendors follow the hierarchy?,DSV audit records showing hierarchy compliance,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
17,CORE REQUIREMENT 2: HIERARCHY OF RESPONSIBLE MANAGEMENT,CORE REQUIREMENT 2,HIERARCHY OF RESPONSIBLE MANAGEMENT,Are recalled or counterfeit items properly excluded from reuse?,Procedures for identifying and routing prohibited items,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
18,CORE REQUIREMENT 2: HIERARCHY OF RESPONSIBLE MANAGEMENT,CORE REQUIREMENT 2,HIERARCHY OF RESPONSIBLE MANAGEMENT,Is disposal only used when no recycling options exist?,Documentation of technical/economic infeasibility,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
19,CORE REQUIREMENT 2: HIERARCHY OF RESPONSIBLE MANAGEMENT,CORE REQUIREMENT 2,HIERARCHY OF RESPONSIBLE MANAGEMENT,How are extreme circumstances for FM disposal documented?,"Written justification if applicable, legal requirements",Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
20,CORE REQUIREMENT 2: HIERARCHY OF RESPONSIBLE MANAGEMENT,CORE REQUIREMENT 2,HIERARCHY OF RESPONSIBLE MANAGEMENT,Does the hierarchy policy cover both on-site and off-site activities?,Policy explicitly addressing all controlled operations,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
21,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Does the facility maintain current EHSMS certification from an accredited CB?,Valid ISO 14001/45001 or equivalent certificate,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
22,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Are all R2 requirements integrated into the EHSMS?,EHSMS documentation showing R2 integration,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
23,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Are documents and records maintained for at least three years?,Records retention policy and archived documents,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
24,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Has a full internal R2 audit been conducted within the past year?,Internal audit report covering all requirements,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
25,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Does the facility demonstrate technical capability for all accepted materials?,"Training records, equipment specifications",Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
26,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Have environmental impacts been identified and analyzed?,Environmental aspects register with controls,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
27,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Has health and safety risk assessment been completed?,Risk assessment documentation with controls,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
28,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Is there a process for evaluating hazardous substance exposure?,IH monitoring program and results,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
29,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Are incoming materials inspected for damage or hazards?,Receiving inspection procedures and records,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
30,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Are housekeeping standards maintained throughout the facility?,Housekeeping schedule and inspection records,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
31,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Are sanitary facilities provided for workers?,Physical verification of adequate facilities,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
32,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Is food/beverage consumption restricted in contaminated areas?,Posted policies and designated clean areas,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
33,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Do temporary workers receive the same protections as employees?,Training and PPE records for all workers,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
34,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Is there a designated EH&S coordinator?,Named individual with defined responsibilities,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
