question_id,requirement_code,requirement_name,requirement_type,question_text,evidence_required,tags
Q-001,CR1,SCOPE,Core,Does the facility have a current R2 certificate that accurately reflects all processes and activities?,"Valid R2 certificate showing all applicable processes, legal entities, and locations",CR1|SCOPE
Q-002,CR1,SCOPE,Core,"Are all electronic equipment types, components, and materials managed by the facility documented in the scope?",Written scope statement matching certificate and operations,CR1|SCOPE
Q-003,CR1,SCOPE,Core,Have all legal entities and names associated with certifiable activities been identified?,"Business licenses, DBAs, trade names documentation",CR1|SCOPE
Q-004,CR1,SCOPE,Core,Are there any uncertified locations managing e-waste that should be disclosed?,Current public listing of non-certified locations if applicable,CR1|SCOPE
Q-005,CR1,SCOPE,Core,Has the facility been on SERI's deceptive practices list in the past 24 months?,Verification against SERI's published list,CR1|SCOPE
Q-006,CR1,SCOPE,Core,Do all certifiable activities at the physical address fall within the R2 scope?,Site map showing all operations areas,CR1|SCOPE
Q-007,CR1,SCOPE,Core,Are external processes and activities under the facility's control included in certification?,Documentation of off-site controlled activities,CR1|SCOPE
Q-008,CR1,SCOPE,Core,Has the facility properly identified all applicable R2 Process Requirements?,List matching actual operations to Appendices A-G,CR1|SCOPE
Q-009,CR1,SCOPE,Core,Are all authorized allowances properly documented on the certificate?,Certificate showing approved allowances per COP,CR1|SCOPE
Q-010,CR1,SCOPE,Core,Does the facility maintain documentation linking all sales websites to certified operations?,URLs and website documentation matching certificate names,CR1|SCOPE
Q-011,CR2,HIERARCHY OF RESPONSIBLE MANAGEMENT,Core,Does the facility have a written hierarchy policy prioritizing reuse over recycling?,Written policy document dated and approved,CR2|HIERARCHY_OF_RESPONSIBLE_MANAGEMENT
Q-012,CR2,HIERARCHY OF RESPONSIBLE MANAGEMENT,Core,How does the facility evaluate equipment for reuse potential?,Documented evaluation criteria and procedures,CR2|HIERARCHY_OF_RESPONSIBLE_MANAGEMENT
Q-013,CR2,HIERARCHY OF RESPONSIBLE MANAGEMENT,Core,Are items directed to reuse when technically capable?,Transaction records showing reuse prioritization,CR2|HIERARCHY_OF_RESPONSIBLE_MANAGEMENT
Q-014,CR2,HIERARCHY OF RESPONSIBLE MANAGEMENT,Core,How are non-reusable items directed to materials recovery?,Process flow documentation and routing records,CR2|HIERARCHY_OF_RESPONSIBLE_MANAGEMENT
Q-015,CR2,HIERARCHY OF RESPONSIBLE MANAGEMENT,Core,Are focus materials ever sent to energy recovery or landfill?,Records showing no disposal unless legally required,CR2|HIERARCHY_OF_RESPONSIBLE_MANAGEMENT
Q-016,CR2,HIERARCHY OF RESPONSIBLE MANAGEMENT,Core,How does the facility verify downstream vendors follow the hierarchy?,DSV audit records showing hierarchy compliance,CR2|HIERARCHY_OF_RESPONSIBLE_MANAGEMENT
Q-017,CR2,HIERARCHY OF RESPONSIBLE MANAGEMENT,Core,Are recalled or counterfeit items properly excluded from reuse?,Procedures for identifying and routing prohibited items,CR2|HIERARCHY_OF_RESPONSIBLE_MANAGEMENT
Q-018,CR2,HIERARCHY OF RESPONSIBLE MANAGEMENT,Core,Is disposal only used when no recycling options exist?,Documentation of technical/economic infeasibility,CR2|HIERARCHY_OF_RESPONSIBLE_MANAGEMENT
Q-019,CR2,HIERARCHY OF RESPONSIBLE MANAGEMENT,Core,How are extreme circumstances for FM disposal documented?,"Written justification if applicable, legal requirements",CR2|HIERARCHY_OF_RESPONSIBLE_MANAGEMENT
Q-020,CR2,HIERARCHY OF RESPONSIBLE MANAGEMENT,Core,Does the hierarchy policy cover both on-site and off-site activities?,Policy explicitly addressing all controlled operations,CR2|HIERARCHY_OF_RESPONSIBLE_MANAGEMENT
Q-021,CR3,EH&S MANAGEMENT SYSTEM,Core,Does the facility maintain current EHSMS certification from an accredited CB?,Valid ISO 14001/45001 or equivalent certificate,CR3|EH&S_MANAGEMENT_SYSTEM
Q-022,CR3,EH&S MANAGEMENT SYSTEM,Core,Are all R2 requirements integrated into the EHSMS?,EHSMS documentation showing R2 integration,CR3|EH&S_MANAGEMENT_SYSTEM
Q-023,CR3,EH&S MANAGEMENT SYSTEM,Core,Are documents and records maintained for at least three years?,Records retention policy and archived documents,CR3|EH&S_MANAGEMENT_SYSTEM
Q-024,CR3,EH&S MANAGEMENT SYSTEM,Core,Has a full internal R2 audit been conducted within the past year?,Internal audit report covering all requirements,CR3|EH&S_MANAGEMENT_SYSTEM
Q-025,CR3,EH&S MANAGEMENT SYSTEM,Core,Does the facility demonstrate technical capability for all accepted materials?,"Training records, equipment specifications",CR3|EH&S_MANAGEMENT_SYSTEM
Q-026,CR3,EH&S MANAGEMENT SYSTEM,Core,Have environmental impacts been identified and analyzed?,Environmental aspects register with controls,CR3|EH&S_MANAGEMENT_SYSTEM
Q-027,CR3,EH&S MANAGEMENT SYSTEM,Core,Has health and safety risk assessment been completed?,Risk assessment documentation with controls,CR3|EH&S_MANAGEMENT_SYSTEM
Q-028,CR3,EH&S MANAGEMENT SYSTEM,Core,Is there a process for evaluating hazardous substance exposure?,IH monitoring program and results,CR3|EH&S_MANAGEMENT_SYSTEM
Q-029,CR3,EH&S MANAGEMENT SYSTEM,Core,Are incoming materials inspected for damage or hazards?,Receiving inspection procedures and records,CR3|EH&S_MANAGEMENT_SYSTEM
